cartodb_id,the_geom,type,year,latitude,longitude
1,0101000020E610000047718E3A3A995EC00A68226C78C24740,Fire,2015,47.5193,-122.394179
2,0101000020E6100000F1B913ECBF985EC067D65240DAC94740,Fire,2015,47.576973,-122.386714
3,0101000020E610000034BA83D899985EC0AFB5F7A92AC64740,Fire,2015,47.548177,-122.38439
4,0101000020E6100000CA8AE1EA00985EC0D5CA845FEAC54740,Fire,2015,47.546215,-122.375056
5,0101000020E6100000DF1AD82AC1965EC06EFAB31F29DC4740,Fire,2015,47.720005,-122.35554
6,0101000020E610000082A966D652965EC04F95EF1989CE4740,Fire,2015,47.613559,-122.348806
7,0101000020E61000002AC6F99B50965EC0B1169F0260CE4740,Fire,2015,47.612305,-122.34867
8,0101000020E6100000EB025E66D8955EC0AF22A30392CE4740,Fire,2015,47.613831,-122.341333
9,0101000020E61000001764CBF275955EC0B6847CD0B3CD4740,Fire,2015,47.60705,-122.335324
10,0101000020E61000001764CBF275955EC0B6847CD0B3CD4740,Fire,2015,47.60705,-122.335324
11,0101000020E61000003B00E2AE5E955EC0C231CB9E04DA4740,Fire,2015,47.703266,-122.333904
12,0101000020E61000006B47718E3A955EC0A852B3075ACF4740,Fire,2015,47.619935,-122.331699
13,0101000020E610000083893F8A3A955EC07445292158CF4740,Fire,2015,47.619877,-122.331698
14,0101000020E610000009A7052FFA945EC077F69507E9D34740,Fire,2015,47.655549,-122.32777
15,0101000020E610000097C80567F0945EC0790778D2C2CF4740,Fire,2015,47.623133,-122.327173
16,0101000020E61000000BB5A679C7945EC08386FE092ED24740,Fire,2015,47.64203,-122.324675
17,0101000020E61000000BB5A679C7945EC08386FE092ED24740,Fire,2015,47.64203,-122.324675
18,0101000020E6100000FE2AC0779B945EC0292504ABEACF4740,Fire,2015,47.624349,-122.321989
19,0101000020E610000058569A9482945EC056D7A19A92C84740,Fire,2015,47.566974,-122.32047
20,0101000020E61000004AECDADE6E945EC0A5BC564277CD4740,Fire,2015,47.605202,-122.319267
21,0101000020E6100000956588635D945EC020D5B0DF13CF4740,Fire,2015,47.617794,-122.3182
22,0101000020E6100000EE5C18E945945EC01E8CD82780CE4740,Fire,2015,47.613286,-122.316767
23,0101000020E610000046D26EF431945EC0508E0244C1CE4740,Fire,2015,47.615273,-122.315549
24,0101000020E610000076FF58880E945EC07347FFCBB5CA4740,Fire,2015,47.583673,-122.313387
25,0101000020E6100000A6D0798D5D925EC07EFD101B2CC84740,Fire,2015,47.563846,-122.28696
26,0101000020E6100000B1C22D1F49925EC0116DC7D45DD54740,Fire,2015,47.666926,-122.285713
27,0101000020E61000000A302C7FBE985EC0B3EDB43522CA4740,Fire,2015,47.579169,-122.386627
28,0101000020E61000005794128255985EC0577A6D3656CA4740,Fire,2015,47.580756,-122.380219
29,0101000020E6100000806264C91C985EC0AB5AD2510EDA4740,Fire,2015,47.703562,-122.376757
30,0101000020E6100000030AF5F411975EC0E350BF0B5BC34740,Fire,2015,47.526216,-122.360471
31,0101000020E6100000F5824F73F2965EC0A298BC0166D84740,Fire,2015,47.690613,-122.358548
32,0101000020E610000012691B7FA2965EC0588E90813CD34740,Fire,2015,47.650284,-122.353668
33,0101000020E61000007730629F00965EC0EBE40CC51DC94740,Fire,2015,47.571221,-122.343788
