Type,Date,Lat,Lng
Medic,1/1/2014,47.51313,-122.255858
fire,1/1/2014,47.52101,-122.269997
Medic,1/1/2014,47.519421,-122.271163
Medic,1/1/2014,47.688471,-122.287443
Medic,1/1/2014,47.569732,-122.290646
fire,1/1/2014,47.661385,-122.305472
Medic,1/1/2014,47.664893,-122.311937
Medic,1/1/2014,47.620503,-122.312698
Medic,1/1/2014,47.620503,-122.312698
fire,1/1/2014,47.661306,-122.318733
Medic,1/1/2014,47.661533,-122.320727
fire,1/1/2014,47.614171,-122.320782
Medic,1/1/2014,47.623133,-122.322008
Medic,1/1/2014,47.617741,-122.32524
Medic,1/1/2014,47.607742,-122.326595
fire,1/1/2014,47.607945,-122.328471
fire,1/1/2014,47.608665,-122.329131
fire,1/1/2014,47.616989,-122.330811
Medic,1/1/2014,47.602172,-122.330863
fire,1/1/2014,47.603484,-122.332062
Medic,1/1/2014,47.601721,-122.332874
Medic,1/1/2014,47.595693,-122.333273
Medic,1/1/2014,47.666494,-122.333531
Medic,1/1/2014,47.575576,-122.334203
Medic,1/1/2014,47.612958,-122.337873
Medic,1/1/2014,47.610743,-122.338702
Medic,1/1/2014,47.610743,-122.338702
fire,1/1/2014,47.610743,-122.338702
Medic,1/1/2014,47.609488,-122.339089
Medic,1/1/2014,47.615518,-122.344186
Medic,1/1/2014,47.613271,-122.344353
Medic,1/1/2014,47.732314,-122.350154
fire,1/1/2014,47.61642,-122.35365
fire,1/1/2014,47.622394,-122.356727
Medic,1/1/2014,47.528266,-122.36046
Medic,1/1/2014,47.635138,-122.36367
Medic,1/1/2014,47.689317,-122.388724
Medic,1/1/2014,47.658094,-122.39225
fire,1/1/2014,47.557076,-122.394955
fire,1/1/2014,47.677466,-122.404611
Medic,1/1/2014,47.571114,-122.406699
fire,1/1/2014,47.571703,-122.40734
fire,1/1/2014,47.642158,-122.409205
Medic,1/1/2014,47.577726,-122.409556
Medic,1/1/2015,47.496511,-122.262747
Medic,1/1/2015,47.501361,-122.26347
Medic,1/1/2015,47.520534,-122.269983
Medic,1/1/2015,47.535914,-122.270031
Medic,1/1/2015,47.550374,-122.280788
Medic,1/1/2015,47.638185,-122.284872
fire,1/1/2015,47.666926,-122.285713
fire,1/1/2015,47.563846,-122.28696
Medic,1/1/2015,47.55094,-122.287786
Medic,1/1/2015,47.731953,-122.293609
Medic,1/1/2015,47.582509,-122.29791
Medic,1/1/2015,47.577283,-122.298263
Medic,1/1/2015,47.584234,-122.299024
Medic,1/1/2015,47.677593,-122.300597
Medic,1/1/2015,47.66707,-122.301946
Medic,1/1/2015,47.601649,-122.302324
Medic,1/1/2015,47.663074,-122.305164
Medic,1/1/2015,47.641929,-122.305516
